periodo,fecha,cve_ent,Estado,Sigla,sexo,tipo_paciente,positivos,fallecimientos,sospechosos,merge
2020-04-15,15/04/2020,13,Hidalgo,Hgo,1,1,17,0,25,0
2020-04-15,15/04/2020,13,Hidalgo,Hgo,1,2,6,1,7,0
2020-04-15,15/04/2020,13,Hidalgo,Hgo,2,1,21,2,15,0
2020-04-15,15/04/2020,13,Hidalgo,Hgo,2,2,22,7,8,0
2020-04-15,15/04/2020,14,Jalisco,Jal,1,1,62,1,306,0
2020-04-15,15/04/2020,14,Jalisco,Jal,1,2,10,1,34,0
2020-04-15,15/04/2020,14,Jalisco,Jal,2,1,83,1,179,0
2020-04-15,15/04/2020,14,Jalisco,Jal,2,2,23,8,26,0
2020-04-15,15/04/2020,15,México,Mex,1,1,216,1,528,0
2020-04-15,15/04/2020,15,México,Mex,1,2,131,14,188,0
2020-04-15,15/04/2020,15,México,Mex,2,1,240,1,393,0
2020-04-15,15/04/2020,15,México,Mex,2,2,250,35,328,0
2020-04-15,15/04/2020,16,Michoacán,Mich,1,1,21,1,78,0
2020-04-15,15/04/2020,16,Michoacán,Mich,1,2,10,3,31,0
2020-04-15,15/04/2020,16,Michoacán,Mich,2,1,18,2,58,0
2020-04-15,15/04/2020,16,Michoacán,Mich,2,2,22,6,27,0
2020-04-15,15/04/2020,17,Morelos,Mor,1,1,14,0,30,0
2020-04-15,15/04/2020,17,Morelos,Mor,1,2,14,4,15,0
2020-04-15,15/04/2020,17,Morelos,Mor,2,1,18,1,22,0
2020-04-15,15/04/2020,17,Morelos,Mor,2,2,16,5,24,0
2020-04-15,15/04/2020,18,Nayarit,Nay,1,1,12,0,22,0
2020-04-15,15/04/2020,18,Nayarit,Nay,1,2,5,3,7,0
2020-04-15,15/04/2020,18,Nayarit,Nay,2,1,6,0,19,0
2020-04-15,15/04/2020,18,Nayarit,Nay,2,2,6,2,8,0
2020-04-15,15/04/2020,19,Nuevo León,NL,1,1,43,0,857,0
2020-04-15,15/04/2020,19,Nuevo León,NL,1,2,5,1,45,0
2020-04-15,15/04/2020,19,Nuevo León,NL,2,1,86,1,1021,0
2020-04-15,15/04/2020,19,Nuevo León,NL,2,2,11,2,69,0
2020-04-15,15/04/2020,20,Oaxaca,Oax,1,1,22,0,28,0
2020-04-15,15/04/2020,20,Oaxaca,Oax,1,2,5,1,9,0
2020-04-15,15/04/2020,20,Oaxaca,Oax,2,1,17,2,15,0
2020-04-15,15/04/2020,20,Oaxaca,Oax,2,2,6,1,13,0
2020-04-15,15/04/2020,21,Puebla,Pue,1,1,93,0,141,0
2020-04-15,15/04/2020,21,Puebla,Pue,1,2,41,9,47,0
2020-04-15,15/04/2020,21,Puebla,Pue,2,1,91,2,115,0
2020-04-15,15/04/2020,21,Puebla,Pue,2,2,69,22,50,0
2020-04-15,15/04/2020,22,Querétaro,Qro,1,1,24,1,33,0
2020-04-15,15/04/2020,22,Querétaro,Qro,1,2,7,0,10,0
2020-04-15,15/04/2020,22,Querétaro,Qro,2,1,24,0,29,0
2020-04-15,15/04/2020,22,Querétaro,Qro,2,2,12,4,10,0
2020-04-15,15/04/2020,23,Quintana Roo,Q. Roo,1,1,60,0,63,0
2020-04-15,15/04/2020,23,Quintana Roo,Q. Roo,1,2,33,7,15,0
2020-04-15,15/04/2020,23,Quintana Roo,Q. Roo,2,1,92,1,69,0
2020-04-15,15/04/2020,23,Quintana Roo,Q. Roo,2,2,87,19,35,0
2020-04-15,15/04/2020,24,San Luis Potosí,SLP,1,1,26,0,46,0
2020-04-15,15/04/2020,24,San Luis Potosí,SLP,1,2,1,0,20,0
2020-04-15,15/04/2020,24,San Luis Potosí,SLP,2,1,20,0,37,0
2020-04-15,15/04/2020,24,San Luis Potosí,SLP,2,2,8,4,26,0
2020-04-15,15/04/2020,25,Sinaloa,Sin,1,1,64,2,138,0
2020-04-15,15/04/2020,25,Sinaloa,Sin,1,2,62,14,32,0
2020-04-15,15/04/2020,25,Sinaloa,Sin,2,1,59,1,95,0
2020-04-15,15/04/2020,25,Sinaloa,Sin,2,2,106,21,60,0
2020-04-15,15/04/2020,26,Sonora,Son,1,1,23,0,69,0
